English,Hebrew
stinky ,מסריח
lina ,לינה
norton ,נורטון
regional ,אֵזוֹרִי
heil ,הייל
richer ,richer
secrecy ,סוֹדִיוּת
thighs ,ירכיים
rigged ,מְבוּיָם
thesis ,תזה
zeke ,zeke
consumed ,מְאוּכָּל
ahold ,adhold.
tuned ,מְכוּוָן
atlantis ,אטלנטיס
repaired ,מְתוּקָן
leverage ,מינוף
winnie ,ויני
weary ,לְהַלאוֹת
costa ,קוסטה
rue ,להצטער
cowboys ,קאובויים
employ ,לְהַעֲסִיק
provoke ,לְגָרוֹת
stool ,שְׁרַפרַף
postpone ,לִדחוֹת
extensive ,נִרחָב
beau ,מְחַזֵר
urgently ,בֵּדְחִיפוּת
optimistic ,אוֹפּטִימִי
lotus ,לוֹטוּס
apologizing ,מתנצל
spooky ,מפחיד
skate ,לְהַחלִיק עַל מִחלָקַיִם
maze ,מבוך
arrests ,מעצרים
dialing ,חִיוּג
fireplace ,אָח
gt ,גט
vicar ,כּוֹמֶר
beetle ,חֶשׁה
horace ,הוראס
suspicions ,חשדות
stupidity ,טִפּשׁוּת
restricted ,מוגבל
skating ,החלקה
pupil ,תלמיד
homo ,הומו
thumbs ,אגודלים
hostess ,מְאָרַחַת
cheng ,צ 'א
sneaky ,מִתגַנֵב
swollen ,נפוח
por ,-
unlocked ,לא נעול
eliza ,אלייזה
gladys ,גליגלס
mixture ,תַעֲרוֹבֶת
porsche ,פורמה
diagnosed ,אובחן
vaughn ,וואן
ri ,ri
liberation ,שִׁחרוּר
nay ,לָאו
crows ,crows
rockets ,טילים
starfleet ,סטארפלט
reindeer ,אַיָל
that ,זֶה
shampoo ,שַׁמפּוֹ
milton ,מִילוֹן
mai ,מאי
skiing ,סקִי
overhead ,מעל
disturbance ,הפרעה
cohen ,כּוֹהֵן
spits ,יוקרתי
crank ,כַּנֶנֶת
crocodile ,תַנִין
bulls ,בולס
medals ,מדליות
sierra ,סיירה
motivation ,מוֹטִיבָצִיָה
dangers ,סכנות
exploring ,לחקור
mist ,עֲרָפֶל
galaxies ,גלקסיות
ju ,-
sculpture ,פֶּסֶל
marjorie ,מרג'ורי
adrenaline ,אדרנלין
malik ,מאליק
lt. ,.
allied ,allied.
manor ,אֲחוּזָה
convoy ,שִׁשִׁיָה
carly ,קרלי
elliott ,אליוט
merit ,לִזכּוֹת
cutter ,מַחתֵך
stressful ,ללקות
forming ,יוצר
bikini ,בִּיקִינִי
sway ,להתנדנד
virgil ,וירגגר
soy ,סויה
nell ,נל
salty ,מָלוּחַ
elf ,שֵׁדוֹן
belts ,חגורות
yvonne ,איבון
disney ,דיסני
contractor ,קַבְּלָן
rodeo ,רוֹדֵאוֹ
crackers ,קרקרים
playboy ,פלייבוי
arch ,קֶשֶׁת
operated ,מוּפעָל
crews ,צוותים
scanner ,סוֹרֵק
dads ,אבות
limbs ,גפיים
bathe ,לִרְחוֹץ
cardiac ,שֶׁל הַלֵב
persuaded ,שיכנעו
argentina ,ארגנטינה
velvet ,קְטִיפָה
hyde ,הייד
stem ,גֶזַע
rewarded ,גמול
taiwan ,טייוואן
warfare ,לוֹחָמָה
lakhs ,lakhs.
filter ,לְסַנֵן
pumped ,שָׁאוּב
sterling ,שׁטֶרלִינג
gran ,גראן
right. ,ימין.
fills ,מילוי
chet ,ח
disc ,דיסק
percentage ,אֲחוּזִים
bravery ,אומץ
edges ,קוצים
diaper ,לְחַתֵל
lyle ,ללייל
ida ,אידא
preserved ,השתמר
sutton ,סאטון
katrina ,קטרינה
champions ,אלוף
partying ,לחגוג
sergei ,סרג'י
pd ,-
morality ,מוּסָרִיוּת
crate ,אַרְגָז
mina ,מין
complications ,סיבוכים
sausages ,נקניקיות
smoothly ,חלקה
rafael ,רפאל
cradle ,עֶרֶשׂ
leopard ,נָמֵר
chu ,צ 'ו
gardner ,גארדנר
athens ,אַתוּנָה
wh-what ,מה עלי לעשות מה
abu ,א abו
kramer ,קרמר
magnet ,מַגנֵט
psychotic ,פְּסִיכוֹטִי
vaccine ,תַרכִּיב
motivated ,מלא מוטיבציה
aggression ,תוֹקפָּנוּת
courses ,קורסים
it`s ,זה `
willis ,וויליס
expanding ,הרחבת
vance ,אוֹמֶן
bases ,בסיסים
burglary ,פְּרִיצָה
stumbled ,מועטים
buns ,לחמניות
confronted ,מתעמת עם
geneva ,ז'נבה
increasingly ,יותר ויותר
sidewalk ,מדרכה
shady ,מוצל
defended ,מוּגָן
resolution ,פתרון הבעיה
chooses ,בוחר
tapped ,טוֹפֶסֶת
exploding ,הִתְפּוֹצְצוּת
punks ,punkses
scenery ,נוף
hitch ,תַקָלָה
severed ,ניתוק
wink ,קְרִיצָה
initially ,בתחילה
assessment ,הערכה
shredder ,shredder
villains ,נבלים
miners ,כורים
introducing ,הנותן
focusing ,מתמקדת
rainy ,גָשׁוּם
amendment ,תיקון
getaway ,התרחק
recognised ,מוּכָּר
blackout ,הַאֲפָלָה
leash ,רצועה
muhammad ,מוחמד
eyebrows ,גבות
livin ,חי
bouncing ,הַקפָּצָה
nipples ,פטמות
oh ,ללא שם:
raft ,רַפסוֹדָה
pharaoh ,פַּרעֹה
pots ,כְּלֵי מִטְבָּח
refreshing ,מְרַעֲנֵן
wandered ,שוטט
roz ,רוז
abel ,הוֹלֵלוּת
beatles ,beatles
confined ,מוּגבָּל
contagious ,מדבק
madeline ,madeline
beijing ,בייג'ינג
frequently ,בתדירות גבוהה
operational ,מִבצָעִי
shakes ,רועד
thanking ,מוֹדֶה
suffers ,סובל
basil ,ריחן
babylon ,בָּבֶל
to ,ל
drilling ,הִתעַמְלוּת
agencies ,סוכנויות
buffet ,בופה
farms ,חקלאות
motives ,מניעים
cocoa ,קקאו
perception ,תפיסה
targeting ,מיקוד
thudding ,thudding
blares ,הַצלָחָה
dense ,צָפוּף
pinned ,הצמיד
pending ,ממתין ל
nod ,מָנוֹד רֹאשׁ
crunch ,לִכסוֹס
stains ,כתמים
nervously ,בעצבנות
caribbean ,קריבי
bouquet ,זר
stabbing ,דְקִירָה
screws ,ברגים
boone ,boone
philosopher ,פִילוֹסוֹף
bulb ,נוּרָה
sinner ,חוֹטֵא
ongoing ,מתמשך
editing ,עֲרִיכָה
veteran ,ותיק
drip ,טפטוף
r. ,r.
mara ,מארה
inspiring ,מעורר השראה
gale ,סְעָרָה
flint ,אבן צור
nova ,נדה
nevada ,נבאדו
manning ,אִיוּשׁ
membership ,חֲבֵרוּת
puerto ,פוארטו
raphael ,רפאל
chalk ,גִיר
liable ,עָלוּל
manuscript ,כְּתַב יָד
h. ,ח.
organised ,מְאוּרגָן
clanging ,clanging
markets ,שווקים
rama ,רמה
austria ,אוֹסְטְרֵיָה
chocolates ,שוקולדים
l. ,l.
trafficking ,סחר
philly ,פילי
unaware ,לא מודע
loot ,לִבזוֹז
perish ,לָמוּת
processed ,מעובד
clone ,clone
whooshing ,וווהינג
hangover ,הנגאובר
flatter ,לְהַחמִיא
wretch ,אוֹבֶל
weasel ,סַמוּר
columbia ,קולומביה
israeli ,יִשׂרְאֵלִי
shatters ,shatters
lace ,תַחרָה
indication ,סִימָן
allan ,אלן
cora ,קורה
drifting ,נסחף
grady ,ללא שם:
undress ,לְהִתְפַּשֵׁט
dolphin ,דולפין
faked ,מזויפים
depart ,לַעֲזוֹב
monument ,אַנדַרטָה
tyres ,צמיגים
marissa ,מריסה
lorraine ,לוריין
pow ,פואם
invade ,לִפְלוֹשׁ
scooby ,סקובי
hazel ,לוּז
rep ,רֶצַח
est ,אסט
heavier ,כבד יותר
tart ,טארט
mocking ,לַעֲגָנִי
forgets ,שוכח
sinister ,מְרוּשָׁע
christy ,נוֹצָה
dex ,דקס
judas ,יְהוּדָה
assemble ,להרכיב
shortcut ,קיצור
transformation ,הנותנות
posts ,הודעות
generosity ,נדיבות
amusement ,שַׁעֲשׁוּעַ
beta ,ביתא
counseling ,ייעוץ
bobo ,בובו
honors ,honors.
snatched ,חטף
phyllis ,phyllis
measured ,נמדד
gamma ,גָמָא
squeals ,צווחנים
evidently ,בָּרוּר
mildred ,מילד
caitlin ,קאיטלין
dubai ,דובאי
lantern ,פָּנָס
combine ,לְשַׁלֵב
nero ,נירון
trey ,טריי
toughest ,הכי הכי
limp ,לִצְלוֹעַ
implying ,רמז
matrix ,מַטרִיצָה
dots ,-
kilometres ,קילומטרים
evacuation ,פינוי
earliest ,הכי מוקדם
incompetent ,חֲסַר יְכוֹלֶת
closure ,סגירת מעגל
descent ,מוֹצָא
parachute ,מַצנֵחַ
analyze ,לְנַתֵחַ
crushing ,גְרִיסָה
classmates ,חברים לכיתה
excessive ,מוּפרָז
tighter ,חזק יותר
hump ,גַבנוּן
fuzzy ,מְעוּרפָּל
tad ,יַלדוֹן
punishing ,עֲנִישָׁה
pageant ,תחרות
wan ,וואן
reveals ,חושף
wildlife ,חַיוֹת בַּר
clare ,קלייר
poking ,poking.
rehearsing ,חזרות
homecoming ,הָמוֹן
swelling ,נְפִיחוּת
shrieking ,צווחת
squawking ,cquawking.
tardis ,טארדיס
caine ,caine
statues ,פסלים
practiced ,מְתוּרגָל
christianity ,נַצְרוּת
hazard ,מִפגָע
stretched ,מָתוּחַ
dea ,דאה
trudy ,trudy
slug ,שבלול
frustration ,תסכול
edie ,אדי
deception ,הונאה
lillian ,לילי
trespassing ,הַסָגָה
elimination ,חיסול
comforting ,מין
len ,לן
preach ,לְהַטִיף
practise ,תרגול
damages ,נְזִיקִין
ex-boyfriend ,החבר לשעבר
exits ,exits.
yer ,יוצר
appointments ,מינויים
significance ,מַשְׁמָעוּת
drummer ,מְתוֹפֵף
specimen ,דוּגמָה
voodoo ,וודו
cleo ,קליאו
misunderstand ,misunderstand
asthma ,אַסְתְמָה
errands ,סידורים
hypocrite ,צָבוּעַ
snorts ,נִימוּס
advocate ,עוֹרֵך דִין
cutie ,חמוד
obtained ,הושג
cristina ,קריסטינה
radioactive ,רַדִיוֹאַקטִיבִי
richmond ,ריצ'מונד
ideals ,אידיאלים
apprentice ,שׁוּליִה
unreasonable ,לא סביר
inmate ,אָסִיר
siege ,מָצוֹר
cobra ,קוֹבּרָה
increases ,מגביר
harbour ,נמל
s ,ס '
illegally ,ללא שם:
rattle ,טִרטוּר
trim ,מְטוּפָּח
noodle ,אִטְרִיָה
antibiotics ,אַנְטִיבִּיוֹטִיקָה
mattered ,חומר
declaration ,הַצהָרָה
virtual ,וירטואלי
intuition ,אינטואיציה
revs ,revs
darcy ,דארסי
scales ,מאזניים
testified ,העיד
gigi ,גיגי
twenty-five ,עשרים וחמש
bypass ,לַעֲקוֹף
pneumonia ,דלקת ריאות
manly ,גַברִי
medicines ,תרופות
slowing ,אטימה
groan ,אֲנָקָה
dungeon ,צִינוֹק
chaps ,chaps
ncis ,ncis.
consequence ,תוֹצָאָה
intercept ,לעכב
badass ,קשוח
examples ,דוגמאות
fists ,אגרופים
klink ,קליף
substantial ,מַמָשִׁי
brag ,לְהִתְרַבְרֵב
pitcher ,כַּד
onboard ,על הסיפון
amigo ,amigo
courtyard ,חָצֵר
royalty ,תמלוגים
spontaneous ,ספּוֹנטָנִי
ca ,ca
restroom ,חדר שירותים
peep ,לְהָצִיץ
negotiating ,משא ומתן
ache ,כְּאֵב
swat ,לְהַצְלִיף
emerge ,לָצֵאת
gambler ,מְהַמֵר
references ,הפניות
bonjour ,בנג'ור
darkest ,כהה ביותר
insecure ,לֹא בָּטוּחַ
attendant ,מְטַפֵּל
sympathetic ,אוֹהֵד
lila ,ללה
heroine ,אֲלִילָה
choked ,חָנוּק
unidentified ,לא מזוהה
plumbing ,אינסטלציה
darker ,כהה יותר
ariel ,אריאל
crude ,גס
dictionary ,מילון
sparks ,ניצוצות
auditions ,אודישנים
demo ,הַדגָמָה
ta-da ,טא-דה
oppose ,לְהִתְנַגֵד
fingernails ,ציפורניים
mineral ,מִינֵרָלִי
collateral ,בטחונות
istanbul ,איסטנבול
venom ,אֶרֶס
tempting ,מפתה
relay ,ממסר
bamboo ,בָּמבּוּק
particle ,חֶלְקִיק
ying ,יינג
torres ,טורס
broadcasting ,שידור
banking ,בַּנקָאוּת
reminding ,הזכירה
cassidy ,cassidy
axl ,אקסל
ferguson ,פרגוסון
estimated ,מְשׁוֹעָר
hebrew ,עִברִית
electronics ,מכשירי חשמל
octopus ,תמנון
meaningful ,בעל משמעות
stranded ,נָטוּשׁ
daytime ,שְׁעוֹת הַיוֹם
dowry ,נְדוּנִיָה
starved ,מוּרעָב
ex-girlfriend ,חברתו לשעבר
collision ,הִתנַגְשׁוּת
admitting ,הודה
comeback ,חזור
hungarian ,הוּנגָרִי
faculty ,סגל
operative ,פָּעִיל
liza ,לויז
tenants ,לדיס
revealing ,לגלות
ko ,קו
ounce ,אוּנְקִיָה
mediterranean ,יָם תִיכוֹנִי
gadget ,מַכשִׁיר
paramedics ,פרמדיקים
console ,לְנַחֵם
cyril ,סיריל
drawers ,תַחתוֹנִים
caravan ,קָרוֹן
spinal ,שֶׁל עַמוּד הַשִׁדרָה
bummer ,באסה
crippled ,נָכֶה
bled ,סָמוּך
defy ,לְהַתְרִיס
luna ,לונה
herbs ,עשבי תיבול
hwang ,hwang
queue ,תוֹר
blinded ,עיוור
studios ,אולפני
th ,th
goddammit ,לעזאזל
recess ,פגרה
countdown ,ספירה לאחור
maddy ,maddy
dracula ,דרקולה
alarms ,אַזעָקָה
gaining ,זְכִיָה
quarterback ,הקוורטרבק
maxine ,מקסין
eminence ,מעמד גבוה
willingly ,בחפץ לב
investigators ,החוקרים
speculation ,ספֵּקוּלָצִיָה
tο ,-
clearer ,יותר ברור
gino ,גינו
cheeky ,חוצפני
powerless ,חֲסַר אוֹנִים
lapd ,לבלד
cruelty ,אַכְזָרִיוּת
external ,חיצוני
arjun ,ארג'ון
quarantine ,בידוד
shush ,לְהַשְׁתִיק
allegations ,טענות
tito ,טְיוֹן
sands ,חולות
spelling ,אִיוּת
che ,צ 'ר
headline ,כּוֹתֶרֶת
taliban ,טליבאן
tablet ,לוּחַ
founder ,מייסד
gandhi ,גנדי
squash ,קישוא
josie ,ג'וזי
jets ,ג'טס
saloon ,מִסְבָּאָה
tuition ,הוֹרָאָה
tame ,לאלף
occasional ,מִקרִי
apologized ,התנצל
clinical ,קליני
serpent ,נָחָשׁ
criticism ,ביקורת
sawyer ,נַסָר
fading ,דוֹהֶה
viktor ,ויקטור
prop ,לִתְמוֹך
shoved ,דוֹפִי
mend ,לְתַקֵן
lonesome ,גַלמוּד
separately ,לְחוּד
reg ,-
evie ,אווי
waitin ,"מ""ר"
n ,n.
legion ,לִגִיוֹן
tsk ,tsk
arabs ,ערבים
accompanied ,נלווה
tread ,לִדרוֹך
findings ,ממצאים
toronto ,טורונטו
exploit ,לְנַצֵל
proposing ,הציע
shi ,shi
scorpion ,עַקרָב
of- ,שֶׁל-
zoey ,זואי
curb ,לְרַסֵן
opium ,אוֹפִּיוּם
athletic ,אַתלֵטִי
bombed ,הפציצו
jumper ,קַפצָן
weaker ,חלש יותר
suing ,תֶפֶס
bianca ,ביאנקה
seminar ,סֵמִינָר
confirms ,מאשרת
commence ,להתחיל
plains ,מישורים
debra ,-
readers ,הקוראים
neglected ,מוזנח
tavern ,מִסְבָּאָה
worthwhile ,כְּדַאי
morale ,מוֹרָל
cleaners ,מנקים
caviar ,קַוויָאר
welcoming ,מסביר פנים
kimberly ,קימברלי
evaluation ,הַעֲרָכָה
f. ,f.
occurs ,מתרחשת
rituals ,טקסים
morton ,מורטון
disguised ,מְחוּפָּשׂ
precision ,דיוק
cube ,קוּבִּיָה
revelation ,הִתגַלוּת
titanic ,כַּבִּיר
realizing ,מימוש
doggy ,כלבלב
babbling ,קאבלס
cheung ,צ 'יונג
dora ,דורה
tenant ,שׂוֹכֵר
riches ,עוֹשֶׁר
diabetes ,סוכרת
alternate ,לְהַחלִיף
diversion ,הַסָחָה
effectively ,ביעילות
dedication ,הַקדָשָׁה
wager ,לְהַמֵר
companions ,לוויהנות
sinclair ,סינקלר
bailed ,bailed.
smelly ,מַסרִיחַ
ratings ,דירוגים
trench ,חֲפִירָה
cameraman ,צַלָם
dillon ,דילון
hawkins ,הוקינס
stanton ,סטנטון
ajay ,ajay
edison ,אדיסון
batter ,חמאה
dye ,צֶבַע
abduction ,חֲטִיפָה
prospect ,פרוספקט
morrison ,מוריסון
brighter ,בהיר יותר
wider ,רחב יותר
alma ,אלמה
manslaughter ,הריגה
remedy ,תְרוּפָה
damp ,לח
thigh ,יָרֵך
cologne ,קלן
accusation ,הַאֲשָׁמָה
outsider ,זָר
serum ,נַסיוֹב
whats ,whats
spaces ,רווחים
oral ,אוראלי
shades ,מִשְׁקפֵי שֶׁמֶשׁ
woe ,אוי
elise ,אליז
receipts ,קבלות
alias ,כינוי
notified ,הודעה
apron ,סינר
kentucky ,קנטקי
vein ,וָרִיד
tonic ,טוניק
squeaks ,cqueaks
dim ,עָמוּם
steep ,תָלוּל
sod ,טִפֵּשׁ
presenting ,הציגו
cinderella ,לִכלוּכִית
cub ,גוּר
chung ,צֶ'ג
eyewitness ,עֵד רְאָיָה
flattering ,מַחמִיא
overdose ,מנת יתר
kathleen ,קאתלין
doubled ,מוּכפָּל
della ,דלה
suckers ,-
automobile ,מְכוֹנִית
cain ,קַיִן
loo ,לוּ
brittany ,בריטני
bullied ,תְזוּזט
spider-man ,ספיידרמן
humphrey ,humphrey
tyson ,טייסון
kidnapper ,חוֹטֵף
dispose ,להשליך
margarita ,מרגריטה
hash ,בְּלִיל
grieving ,האלף
initials ,תיבות
hound ,לִרְדוֹף
boogie ,בוגי
dawg ,dawg
perp ,-
cloak ,גְלִימָה
crabs ,סרטנים
pastry ,מאפה
successor ,יוֹרֵשׁ
hola ,שלום
michele ,מישל
cheerleader ,מעודדת
slips ,תחליק
critics ,קרייקס
recruited ,גייס
macho ,מאצ'ו
stunned ,הָמוּם
fuller ,fuller
mornings ,בוקר
accidental ,מִקרִי
lara ,לארה
convey ,לְהַעֲבִיר
prototype ,אב טיפוס
superiors ,-
barcelona ,ברצלונה
fling ,לְהַשְׁלִיך
froze ,קפוא
atoms ,אטומים
kidnappers ,חוטפים
cupcake ,קאפקייק
athletes ,ספורטאים
warsaw ,ורשה
pleasures ,הִתנַעֲנֵעַ
ax ,גַרזֶן
kumar ,קומאר
uptight ,עַצבָּנִי
inclined ,נוֹטֶה
stockings ,גרביים
scrooge ,סקרוגי
fingerprint ,טביעת אצבע
harmed ,נזקו
sensational ,סֶנסַצִיוֹנִי
jockey ,רוֹכֵב
mourn ,לְהִתְאַבֵּל
intercom ,אינטרקום
tory ,שַׁמְרָן
penthouse ,פֶּנטהָאוּז
forthe ,בשביל ה
eileen ,איילין
ginny ,גוני
quack ,לְגַעגֵעַ
peck ,פֵּק
gospel ,בְּשׂוֹרָה
what ,מה
presumably ,כַּנִראֶה
signatures ,חתימות
hyung ,צניחה
aspects ,היבטים
assumption ,הנחה
rumbles ,rumbles
hugging ,חִבּוּק
sideways ,הַצִידָה
theodore ,תיאודור
organisation ,אִרגוּן
lowered ,מוּשׁפָל
youtube ,YouTube
ct ,ct.
jaws ,מלתעות
troll ,גַמָד
squid ,דיונון
designers ,מעצבים
mushroom ,פטרייה
freeway ,כְּבִישׁ מָהִיר
believer ,מַאֲמִין
possessions ,חָשׂוּק
tunes ,מנגינות
tornado ,טוֹרנָדוֹ
cowardly ,פַּחדָנִי
notch ,לַחֲרוֹץ
routes ,לנתיבים
winters ,וינטרס
elijah ,אליהו
annoy ,לְהַרְגִיז
loaf ,לְהִתְבַּטֵל
commercials ,פרסומות
idiotic ,אִידיוֹטִי
inconvenience ,אי נוחות
plum ,שזיף
solicitor ,עוֹרֵך דִין
amnesia ,שִׁכחָה
deborah ,דבורה
distinct ,מוּבהָק
sweeping ,סוֹחֵף
arson ,הַצָתָה
doubted ,הטיל ספק
furthermore ,יתר על כן
quarry ,מַחצָבָה
s ,ס '
puss ,חָתוּל
farts ,פליטות
guo ,גואו
depot ,מַחסָן
evenings ,ערבים
ole ,אול
circulation ,מחזור
socialist ,סוֹצִיאָלִיסט
melinda ,מלינדה
dryer ,מְיַבֵּשׁ
mutters ,mutters
vomiting ,הֲקָאָה
brock ,ברוק
fei ,פיי
candis ,סמויה
moody ,מְצוּבּרָח
donated ,תרם
reich ,רייך
receiver ,מַקְלֵט
semen ,זֶרַע
converted ,המרה
rags ,סְחָבוֹת
harness ,לִרְתוֹם
slate ,צִפחָה
padre ,כּוֹמֶר
sonya ,סוניה
necessity ,כּוֹרַח
emails ,אימיילים
rumpole ,דמפולה
orderly ,מְסוּדָר
dinners ,ארוחות ערב
assassins ,מתנקשים
scold ,לִנְזוֹף
certainty ,וַדָאוּת
marian ,מריאן
knox ,נוֹגֵדוֹת
upright ,זָקוּף
trek ,מַסָע
patron ,פַּטרוֹן
reborn ,נולד מחדש
reel ,סְלִיל
typewriter ,מְכוֹנַת כְּתִיבָה
babes ,תינוקות
sorrows ,צער
utmost ,מירבי
havin ,havin
patsy ,שעיר לעזאזל
governments ,ממשלות
bhai ,bhai
privileges ,הרשאות
throats ,גרון
remotely ,מרחוק
glee ,שִׂמְחָה
revolver ,אֶקדָח תוּפִּי
lockdown ,סגר
woof ,וואה
brunch ,בראנץ '
dwell ,לגור
coyote ,זְאֵב עֲרָבוֹת
squat ,שָׁפוּף
manic ,שִׁגָעוֹנִי
groove ,חָרִיץ
bangkok ,בנגקוק
uncovered ,חָשׂוּף
mailbox ,תיבת דואר
objections ,התנגדויות
lynch ,לִינץ'
scrape ,לְגַרֵד
commandant ,מְפַקֵד
swings ,נַדְנֵדָה
conventional ,מוּסכָּם
stockholm ,שטוקהולם
raises ,מעלה
transaction ,עִסקָה
iced ,קָפוּא
oy ,-
paulo ,taulo
ignition ,הַצָתָה
beaches ,חופים
interpol ,interpol
epidemic ,מגפה
honoured ,לכבוד
shaggy ,שָׂעִיר
friggin ,friggin
policies ,מדיניות
statistics ,סטָטִיסטִיקָה
shattering ,הִתנַפְּצוּת
bah ,bah
intercourse ,יַחֲסֵי מִין
charms ,קמעות
flashing ,הַברָקָה
destructive ,הַרסָנִי
grilled ,גריל
oregon ,אורגון
copied ,מוּעֲתָק
hookers ,הוקרס
paycheck ,תלוש משכורת
solitude ,בְּדִידוּת
panther ,פַּנתֵר
performances ,הופעות
maids ,משרתות
exhausting ,מַתִישׁ
lambert ,lambert
omega ,אוֹמֶגָה
belgium ,בלגיה
stationed ,מוּצָב
yankees ,yankees
liability ,אחריות
x-rays ,צילומי רנטגן
whichever ,מה ש
hunk ,חֲתִיך
trout ,פוֹרֶל
crystals ,קריסטלים
learns ,לומדים
repent ,לְהִתְחַרֵט
prosperity ,שִׂגשׂוּג
literary ,סִפְרוּתִי
assembled ,התאספו
ounces ,אונקיות
martyr ,קָדוֹשׁ מְעוּנֶה
northwest ,צפון מערב
connecticut ,קונטיקט
privileged ,חָסוּי
webster ,וובסטר
excess ,עודף
unemployment ,אַבטָלָה
viking ,וִיקִינג
blackmailing ,שחור
munich ,מיכון
install ,להתקין
arrogance ,יְהִירוּת
jeopardy ,סַכָּנָה
hacker ,האקר
tongues ,לשונות
pleases ,משמח
reset ,אִתחוּל
risen ,risen
dependent ,תלוי
sued ,תבע
perkins ,פרקינס
goons ,couns
macleod ,macleod
milady ,גְבִירתִי
wolfe ,וולף
abnormal ,לֹא נוֹרמָלִי
bandage ,תַחְבּוֹשֶׁת
heed ,תְשׁוּמַת לֵב
mabel ,mabel
pronounced ,מְבוּטָא
bullying ,הַצָקָה
charter ,שֶׂכֶר
shelley ,שלי
turks ,טורקס
litter ,אַשׁפָּה
standby ,המתנה
izzy ,איזי
ltd ,"בע""מ"
peaches ,אפרסקים
angles ,זוויות
kerry ,קרי
here- ,פה-
baths ,אמבטיות
generate ,לִיצוֹר
cobb ,cobb
residue ,מִשׁקָע
composed ,מוּרכָּב
paco ,- פאקו
kilo ,קִילוֹ
immigrants ,עולים
probable ,מִסתַבֵּר
x. ,איקס.
enjoys ,נהנה
seeks ,מחפש
newman ,איש חדש
vicinity ,סְבִיבָה
flank ,לְאַגֵף
der ,der
clint ,קלינט
functioning ,תִפקוּד
horatio ,הוֹרָטִיָה
predictable ,צָפוּי
jedi ,ג'די
scrambled ,טָרוּף
expansion ,הַרחָבָה
pittsburgh ,פיטסבורג
angus ,אנגוס
natives ,ילידים
bing ,בינג
scarlet ,שני
itchy ,מגרד
stirring ,בְּחִישָׁה
bedrooms ,חדרי שינה
structures ,מבנים
penn ,-
ensign ,נֵס
barrels ,חביות
voters ,בוחרים
madeleine ,מדלן
geoff ,ג 'ף
haste ,מְהִירוּת
existing ,קיים
mcdonald ,מקדונלד
commotion ,רַחַשׁ
belonging ,שייך
extinct ,נִכחָד
joints ,מפרקים
bumper ,פָּגוֹשׁ
you`re ,אתה `
mao ,מאו
mare ,סוּסָה
coleman ,קולמן
influenced ,מוּשׁפָע
heist ,heist.
cynical ,צִינִי
input ,קֶלֶט
recite ,לְדַקלֵם
cary ,קארי
eagles ,נשרים
expired ,לא בתוקף
palms ,כפות הידיים
slash ,קו נטוי
bottoms ,תחתונים
o. ,o.
columbus ,קולומבוס
georges ,ז'ורזי
vous ,ווס
exaggerate ,לְהַגזִים
l- ,-
guided ,מוּדרָך
pineapple ,אננס
spence ,ו '
ankles ,קרסוליים
morals ,מוֹרָל
builds ,בונה
colleen ,קולין
posing ,גזור
fireman ,כַּבַּאי
thorn ,קוֹץ
communities ,קהילות
lawson ,לוסון
workout ,להתאמן
extraterrestrial ,חייזר
raylan ,ריילן
conceived ,יזום
tightly ,צמודי
orlando ,אורלנדו
tennessee ,טנסי
yeon ,יון
diaz ,דִיאז
fraser ,פרייזר
sleeves ,שרוולים
vacant ,רֵיק
infantry ,חֵיל הַרַגלִים
gallagher ,gallagher
booking ,הוֹרָד
oranges ,תפוזים
rhodes ,רודוס
breakup ,להפרד
layla ,ליילה
purity ,טוֹהַר
honourable ,כָּבוּד
militia ,מִילִיצִיָה
j.d. ,ג'ור
mechanics ,מֵכָנִיקָה
mackenzie ,מקאנזי
bronx ,ברונקס
realizes ,מבין
hasty ,חפוז
colorful ,צִבעוֹנִי
ramp ,רמפה
boulevard ,שדרה
xavier ,חאבייר
intriguing ,סקרן
rook ,צָרִיחַ
papi ,-
callen ,קאלן
atm ,כַּספּוֹמָט
acquire ,לִרְכּוֹשׁ
necks ,צוואר
sinners ,חוטאים
gents ,גברים
episodes ,פרקים
oswald ,אוסוולד
dedicate ,לַחֲנוֹך
rests ,רמת
pi ,פאי
okay. ,בסדר.
milord ,מילו
debut ,הוֹפָעָה רִאשׁוֹנָה
interviewing ,ראיון
occupy ,לִכבּוֹשׁ
aimed ,מְכוּוָן
emerged ,ציצוח
sloan ,sloan
restraining ,ריסוס
cod ,בַּקָלָה
clarity ,בְּהִירוּת
daft ,שׁוֹטֶה
islamic ,האסלאם
calculated ,מְחוֹשָׁב
lakes ,אגמים
grumpy ,מְמוּרמָר
ki ,ci
picasso ,פיקאסו
eddy ,מְעַרבּוֹלֶת
consulting ,תיעוץ
obstacles ,מכשולים
pesos ,pesos
nicolas ,ניקולס
plotting ,הִתנַכְּלוּת
infirmary ,מִפרָץ
sermon ,דְרָשָׁה
manipulated ,מֵטִיל
scratches ,שריטות
aidan ,אידאן
deeks ,דיקס
critic ,מְבַקֵר
greasy ,שמנוני
seung ,הֵזקָר
zealand ,זילנד
supports ,תומך
anatomy ,אֲנָטוֹמִיָה
agreeing ,הסכמה
straightforward ,פָּשׁוּט
prejudice ,דעה קדומה
placing ,הַצָבָה
flare ,הַבהָקָה
milky ,חֲלָבִי
masterchef ,מאסטר שף
vladimir ,ולדימיר
premiere ,הקרנת בכורה
glamorous ,מַקסִים וּמְפוּאָר
